"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/25/2024","11:16 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET2)_RTSS_25_Mar_2024_IgG1_MK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/25/2024 11:24:17 AM"
"BatchStopTime","3/25/2024 12:36:43 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/25/2024 7:33:23 AM"
"Last VER Verification","Passed 3/25/2024 7:34:26 AM"
"Last Fluidics Test","Passed 3/25/2024 7:35:45 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/25/2024 7:33:23 AM","27.1","27.1","27.1","27.1","203","220","397","397","0.00705","0.00704","0.00391","0.11537","Pass","MAGPX15265701"


"Samples","88","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"29(1,E4)","RCC-042-T07","1080.25","3979.25","-6.5","-11.5","-11.5","4207.75","49","-9.5","17729.75","-32","1264"
"30(1,F4)","RCC-042-T08","1648.25","4501.25","3.5","-9","-12","6149.25","115","-12.5","9597.75","-54","1228"
"31(1,G4)","RCM-043","9841.25","37.25","269.5","-18","-13.5","545.75","-10","-22.5","-183.25","-104","1233"
"32(1,H4)","RCC-043-T01","5785.25","-2.75","0.5","-14","-10.5","-6.75","-2","-12.5","-173.75","-82","1389"
"33(1,A5)","RCC-043-T07","267.75","-13.75","-10.5","-17","-12.5","-10.75","-13.5","723.5","19954.25","-128","1213"
"34(1,B5)","RCM-043-T08","-15.25","-18.75","-8","-19","-14.5","-15.25","-15","643.5","8002.75","-113.5","1265"
"35(1,C5)","RCM-045","7952.25","-8.75","-2.5","-18","-11.5","348.75","-12","-22.5","77.75","-84","1306"
"36(1,D5)","RCC-045-T01","45.25","6487.25","-6.5","-14","-8.5","-8.25","-16","3.5","-185.25","-91","1280"
"37(1,E5)","RCC-045-T07","-263.75","3799.25","-9.5","25.5","-9.5","-5.25","-14","-13.5","21089.75","-99.5","1338"
"38(1,F5)","RCC-045-T08","-162.75","3994.25","-0.5","10","-2.5","-1.25","1","-3.5","8705.25","-52.5","1112"
"39(1,G5)","RCM-046","10659.75","-2.75","-7","-18","-12.5","5846.75","232","-3.5","-122.25","9","1336"
"40(1,H5)","RCC-046-T01","4163.25","-13.75","-9.5","-19","-12.5","4489.75","-9","-21.5","309.75","268.5","1293"
"41(1,A6)","RCC-046-T07","1914.25","-12.75","-10.5","6","-14.5","2738.75","-20","-21.5","21243.25","1123.5","1364"
"42(1,B6)","RCC-046-T08","450.25","-9.75","-7.5","-16","-14.5","984.25","-14","130","7501.75","315","1286"
"43(1,C6)","RCM-047","2347.25","347.25","-6","-13","-10.5","42.75","222","-10.5","-102.25","-89","1378"
"44(1,D6)","RCC-047-T01","-253.75","-10.25","-11.5","4","-9.5","-11.75","-21","-9.5","-262.25","-109.5","1476"
"45(1,E6)","RCC-047-T07","-342.75","-9.75","-13.5","-16","-13.5","-9.25","-29","-18.5","21224.75","-131","1391"
"46(1,F6)","RCC-047-T08","-282.25","-12.75","-12.5","-16","-12.5","-11.25","-19","-17.5","7682.75","-96.5","1368"
"47(1,G6)","RCM-049","8561.75","897.25","4.5","-18","-11.5","-12.25","-15","-22.5","-184.25","-93","1308"
"48(1,H6)","RCC-049-T01","249.75","917.25","-0.5","-11","-4.5","-3.25","6","-0.5","-145.75","-20","1173"
"49(1,A7)","RCC-049-T07","-321.75","543.25","-12.5","22","-14.5","-13.25","-30","-24.5","18070.25","-137","1285"
"50(1,B7)","RCC-049-T08","-315.75","1493.75","-5","-5","-13.5","-12.75","-24","-25","7674.75","-118","1105"
"51(1,C7)","RCM-050","8375.75","493.75","165.5","-17","-14.5","1297.75","-11","-24","194.75","-115","1207"
"52(1,D7)","RCC-050-T01","4101.25","-4.75","-11.5","-21","-13.5","-8.25","-24","-21.5","-293.25","-122.5","1425"
"53(1,E7)","RCC-050-T07","-129.25","-21.75","-11.5","23","-16.5","-17.25","-29","1307.5","17680.75","-133","1378"
"54(1,F7)","RCC-050-T08","-209.75","-6.75","-8.5","44","-13.5","-9.25","-23","5573","7609.75","-103","1224"
"55(1,G7)","RCC-051-T01","-280.75","4607.25","-10.5","-15","-15.5","-12.25","-27","-17.5","-222.25","-107.5","1348"
"56(1,H7)","RCC-051-T07","-319.75","519.75","-12.5","-15","-12.5","-6.25","-18","1.5","18409.25","-105","1504"
"57(1,A8)","RCC-051-T08","-226.75","633.75","-6.5","-16","-12.5","-10.25","-19","-19.5","7519.75","-80","1217"
"58(1,B8)","RCM-052","2051.25","124.25","-10.5","-22","-14.5","1270.75","-18.5","-29.5","-185.25","-106.5","1361"
"59(1,C8)","RCC-052-T01","-100.25","839.25","18.5","16","37.5","23.75","16","111.5","-115.25","-71","1336"
"60(1,D8)","RCC-052-T07","-383.75","954.25","-0.5","-17","-14.5","-16.25","-32","-17.5","18901.25","-142","1502"
"61(1,E8)","RCC-052-T08","-251.25","791.75","7.5","-16","-10","-12.25","-19.5","-12.5","8905.75","-79.5","1449"
"62(1,F8)","RCM-053","9779.25","112.25","-4","-9","-10.5","99.75","-12","22.5","-115.25","-13","1448"
"63(1,G8)","RCC-053-T01","2629.75","4574.25","-8.5","-20","-14.5","-16.25","-26","-24.5","-248.75","-106.5","1376"
"64(1,H8)","RCC-053-T07","154.25","2062.25","-10.5","0","-11.5","-15.25","-16","-21","19595.75","-97.5","1404"
"65(1,A9)","RCC-053-T08","-34.25","2590.25","-6.5","-10.5","-12.5","-15.25","-12","-20.5","5760.75","-101","883"
"66(1,B9)","RCM-056","3829.25","4983.25","21.5","-7","-6.5","19.75","8","0.5","-17.75","-59","1549"
"67(1,C9)","RCC-056-T01","-175.75","1739.25","-10.5","-20","-14.5","-16.25","-20","-23.5","-229.25","-104","1354"
"68(1,D9)","RCC-056-T07","-277.75","1037.25","-10.5","-14.5","-9.5","-9.25","1","-9.5","20414.75","-109","1451"
"69(1,E9)","RCC-056-T08","-231.75","877.25","-7.5","-9","-9.5","-8.25","-5.5","-10.5","7603.75","-77","1510"
"70(1,F9)","RCM-058","12812.25","27.25","46.5","12.5","15","10618.75","69","12.5","1653.25","64","978"
"71(1,G9)","RCC-058-T01","763.25","2657.25","5.5","32.5","74.5","204.25","39","148.5","1.75","-7.5","1411"
"72(1,H9)","RCC-058-T07","-175.75","2150.25","-1.5","-9","3.5","-0.25","-1","9.5","16973.75","-74","1447"
"73(1,A10)","RCC-058-T08","-173.75","3016.25","-1.5","-7","3.5","3.75","8.5","12.5","5376.75","-57","1144"
"74(1,B10)","RCM-059","6190.25","751.25","-12.5","-19","-14.5","-5.25","149","-23.5","441.75","-93.5","1484"
"75(1,C10)","RCC-059-T01","629.25","249.25","-6.5","7","4","-2.25","-3","11.5","-207.25","-85","1436"
"76(1,D10)","RCC-059-T07","-274.75","67.25","-9.5","56","-15.5","-17.25","-26","-25.5","19100.25","-126","1441"
"77(1,E10)","RCC-059-T08","-265.75","186.75","-7","56","-12.5","-13.25","-18","-19.5","6293.25","-98","1435"
"78(1,F10)","RCM-060","683.75","1284.25","-9.5","-17","-13.5","-12.25","-16","-20.5","-242.25","-98.5","1440"
"79(1,G10)","RCC-060-T01","-185.75","35.25","-6.5","2","22","14.75","4","59","-202.75","-87","1610"
"80(1,H10)","RCC-060-T07","-333.75","-9.75","-10.5","-14","-8.5","-11.25","-16","-19.5","18414.25","-117.5","1573"
