"Sample","AMA1_IgG1","PP28_IgG1","Schisto_IgG1","PP65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"RCM-020",4215,28,26,4,9,19,1,10,148.5,34
"RCM-022",104.5,20,38,3,12,9,1,4,75.5,38.5
"RCM-023",5533,8,17,2,8,7,3,4,54.5,27
"RCM-024",5434,98,19,7,11,2268,6,3,95,48
"RCM-025",2913,2036,18,6,11,7,11,9,92.5,44
"RCM-026",5618,16.5,22,5,13,56,5,6.5,159,105.5
"RCM-029",1451,22,18,7,11,1103,-1,7,195,49.5
"RCM-031",3419,24.5,16,7,12,219,10,6,2529.5,56
"RCM-034",7000.5,25.5,29.5,15.5,13.5,190,-1.5,8.5,339.5,59.5
"healthy-control-negative",122.5,11.5,32,6.5,23.5,8,-5.5,3.5,132.5,78.5
